Parkinginfo_px,Parkinginfo,Py,Px
,,25.02001,121.73727
,,24.99389,121.42697
,,24.95677,121.53377
,,25.01771,121.97322
,,25.04124,121.65202
,,24.87694,121.36555
,,24.92312,121.54551
,,25.04881,121.66603
,,25.08539,121.46665
,,25.02089,121.87625
,,25.26119,121.48954
,,24.96897,121.38511
,,24.93445,121.36934
,,24.95216,121.53883
,,25.29628,121.56885
,,24.91839,121.53485
,,25.00062,121.50129
,,24.84498,121.61202
,,24.86265,121.55152
,,25.17537,121.43294
,,25.01433,121.46337
,,25.22103,121.64249
,,24.99769,121.45059
,,24.96295,121.39168
,,25.26864,121.57125
,,24.95731,121.38444
,,25.20705,121.65981
,,25.03011,121.74811
,,25.25698,121.47382
,,25.17354,121.44115
,,25.10792,121.84418
,,25.00889,121.72111
,,24.88937,121.40246
,,25.17566,121.43566
,,25.00462,121.45387
,,25.08941,121.84752
,,25.03391,121.45069
,,24.84845,121.55126
,,24.99282,121.65752
,,24.93707,121.71272
,,25.11149,121.84423
,,25.06051,121.43176
,,25.16711,121.64288
,,25.05444,121.92696
,,25.12248,121.86119
,,25.05979,121.43201
,,24.88169,121.66473
,,25.00051,121.50101
,,25.00985,121.48141
,,25.03461,121.86456
,,25.01972,121.73975
,,25.23913,121.63347
,,24.98501,121.51222
,,25.03362,121.45016
,,25.15471,121.45878
,,25.08392,121.47361
,,25.01233,121.46557
,,25.01824,121.94363
,,24.84851,121.55172
,,24.90511,121.40183
,,25.08136,121.38985
,,25.19994,121.45538
,,24.95983,121.53954
,,24.86407,121.55151
,,25.06775,121.65621
,,25.25704,121.47911
,,25.22169,121.64583
,,24.95142,121.35004
,,25.15685,121.45563
,,25.16991,121.43898
,,25.11068,121.84583
,,25.10794,121.84231
,,25.20705,121.65981
,,25.04682,121.42678
,,25.24317,121.47523
,,25.03861,121.86583
,,24.95356,121.35979
,,25.00173,121.61494
,,25.05173,121.92299
,,24.95915,121.53303
,,25.10871,121.80609
,,24.90456,121.56232
,,24.85999,121.53941
,,25.11114,121.83868
,,25.03241,121.83446
,,25.07932,121.46641
,,25.10383,121.83774
,,25.12911,121.60754
,,25.00626,121.40125
,,24.77972,121.50003
,,24.99638,121.43854
,,24.88818,121.41061
,,24.90465,121.55407
,,24.95134,121.35015
,,25.25741,121.63287
,,25.24326,121.55871
,,24.93488,121.37367
,,25.20411,121.68781
,,25.20773,121.69242
,,24.86376,121.54939
,,24.95401,121.53746
,,25.02597,121.73851
,,25.27476,121.52962
,,25.01456,122.00222
,,24.97832,121.49695
,,25.02551,121.73766
,,24.91779,121.43352
,,24.97753,121.40546
,,24.95093,121.34781
,,24.95378,121.56704
,,24.88684,121.50674
,,25.00874,121.45114
,,24.86509,121.55255
,,25.28881,121.54485
,,25.16707,121.61493
,,25.00025,121.49271
,,25.03675,121.85361
,,25.17151,121.43996
,,25.08301,121.82453
,,25.01014,121.45179
,,24.99814,121.46681
,,25.19656,121.49334
,,25.00877,121.45737
,,25.16979,121.44266
,,24.96877,121.54213
,,25.00468,121.50662
,,25.00874,121.45114
,,25.28328,121.60591
,,25.10327,121.80872
,,25.26882,121.59212
,,24.91332,121.50821
,,25.10294,121.76357
,,25.12228,121.86006
,,24.97579,121.73252
,,25.02038,121.72108
,,25.05994,121.43181
,,25.09824,121.45741
,,24.98061,121.92594
,,25.19024,121.48431
,,25.01112,121.45461
,,25.12569,121.83268
,,25.02923,121.72204
,,25.29552,121.53681
,,25.11008,121.84271
,,24.94261,121.36838
,,24.94754,121.53957
,,24.99795,121.65301
,,25.02526,121.73854
,,25.15887,121.43382
,,24.95762,121.53704
,,25.01219,121.48256
,,25.08326,121.47135
,,24.95857,121.50854
,,25.01075,121.45176
,,25.07107,121.63143
,,24.95762,121.53704
,,24.94174,121.35977
,,24.99553,121.49754
,,24.93307,121.36911
,,24.94954,121.35241
,,25.10816,121.84339
,,24.87834,121.46188
,,24.98315,121.53599
,,24.99952,121.43012
,,24.84836,121.42291
,,24.93333,121.53941
,,25.05566,121.41704
,,24.96386,121.51673
,,25.04906,121.78461
,,25.27357,121.49961
,,25.14702,121.44552
,,24.87866,121.66281
,,25.23031,121.64781
,,25.11902,121.84917
,,25.05051,121.47596
,,25.11025,121.84527
,,25.11034,121.85965
,,25.16785,121.44371
,,25.15355,121.61853
,,24.95108,121.53676
,,25.02388,121.72372
,,24.95059,121.53672
,,24.95203,121.34861
,,25.00938,121.45961
,,25.16851,121.44396
,,25.17922,121.42937
,,25.17537,121.43526
,,24.94742,121.35282
,,25.10275,121.76188
,,24.95984,121.72134
,,25.11755,121.86139
,,24.95851,121.39932
,,25.00594,121.44763
,,25.07865,121.82595
,,25.09203,121.83141
,,25.08511,121.50206
,,24.91923,121.36941
,,25.00253,121.92997
,,24.92254,121.54621
,,24.82819,121.55481
,,25.04115,121.77516
,,24.93094,121.35362
,,25.05224,121.71102
,,25.11046,121.85863
,,24.95001,121.53333
,,25.16072,121.43028
,,24.99149,121.65791
,,25.26864,121.57125
,,25.02541,121.73795
,,24.99238,121.41071
,,24.98251,121.49028
,,24.99069,121.65866
,,25.27871,121.54507
,,25.15951,121.43373
,,25.19861,121.45512
,,25.18356,121.40954
,,25.09435,121.64233
,,25.05235,121.77328
,,24.99091,121.66051
,,25.03641,121.45428
,,25.00888,121.45442
,,25.10931,121.84303
,,25.18398,121.42711
,,25.00011,121.41274
,,25.00176,121.61501
,,25.11971,121.86252
,,25.27167,121.60329
,,25.12847,121.42422
,,25.20721,121.69091
,,25.01193,121.99015
,,25.06408,121.47214
,,25.12638,121.63741
